time,battery_voltage,humidity,motion,temperature
2025-09-19 18:00:32.235574308+00:00,3.085,59.9,10866,26.91
2025-09-19 18:03:44.717599573+00:00,3.084,59.8,10870,26.89
2025-09-19 18:09:17.100430013+00:00,3.083,60.2,10872,26.88
2025-09-19 18:14:00.643433458+00:00,3.084,60.4,10877,26.88
2025-09-19 18:23:03.366762738+00:00,3.083,61.1,10877,26.89
2025-09-19 18:53:02.792987772+00:00,3.085,61.6,10877,26.77
2025-09-19 18:55:57.012994392+00:00,3.082,61.2,10878,26.79
2025-09-19 19:08:30.911106922+00:00,3.085,60.4,10880,26.73
2025-09-19 19:23:02.303556477+00:00,3.084,61.3,10891,26.65
2025-09-19 19:32:41.144033734+00:00,3.084,61.7,10892,26.58
2025-09-19 19:53:01.751217298+00:00,3.085,62.4,10901,26.44
2025-09-19 20:23:01.337354548+00:00,3.085,63.1,10901,26.31
2025-09-19 20:53:00.733833025+00:00,3.086,64.5,10901,26.39
2025-09-19 21:04:37.585639378+00:00,3.084,64.9,10902,26.4
2025-09-19 21:06:43.981642180+00:00,3.084,65.0,10928,26.39
2025-09-19 21:08:45.787654723+00:00,3.084,65.0,10954,26.41
2025-09-19 21:10:45.958497805+00:00,3.084,64.9,10976,26.4
2025-09-19 21:12:51.089241573+00:00,3.086,65.0,10997,26.41
2025-09-19 21:14:51.242890002+00:00,3.084,65.1,11016,26.41
2025-09-19 21:16:53.523013027+00:00,3.085,65.2,11041,26.43
2025-09-19 21:18:53.963784004+00:00,3.085,65.1,11067,26.41
2025-09-19 21:21:19.849838316+00:00,3.084,65.1,11080,26.44
2025-09-19 21:23:00.279097322+00:00,3.084,65.3,11101,26.44
2025-09-19 21:23:50.289088193+00:00,3.083,65.0,11103,26.46
2025-09-19 21:25:51.158708755+00:00,3.085,65.1,11125,26.43
2025-09-19 21:28:11.953078591+00:00,3.084,65.1,11149,26.44
2025-09-19 21:30:12.868011473+00:00,3.085,64.9,11173,26.44
2025-09-19 21:32:16.667803896+00:00,3.085,66.1,11201,26.47
2025-09-19 21:34:17.473909066+00:00,3.084,64.9,11225,26.47
2025-09-19 21:36:19.838812611+00:00,3.084,64.8,11247,26.46
2025-09-19 21:38:23.627692793+00:00,3.084,64.9,11271,26.46
2025-09-19 21:40:26.532588818+00:00,3.083,65.0,11298,26.47
2025-09-19 21:42:26.988285391+00:00,3.084,65.4,11320,26.44
2025-09-19 21:44:31.725566955+00:00,3.083,65.5,11332,26.49
2025-09-19 21:46:32.555215457+00:00,3.083,65.5,11356,26.46
2025-09-19 21:48:34.430781458+00:00,3.085,65.5,11378,26.47
2025-09-19 21:50:42.368293962+00:00,3.084,65.7,11387,26.5
2025-09-19 21:52:59.643293453+00:00,3.084,65.9,11390,26.49
2025-09-19 21:54:00.480698356+00:00,3.083,65.9,11391,26.5
2025-09-19 21:56:01.780824107+00:00,3.086,66.1,11416,26.49
2025-09-19 21:58:03.148395276+00:00,3.083,66.2,11441,26.44
2025-09-19 22:00:06.445123300+00:00,3.084,66.5,11456,26.46
2025-09-19 22:02:08.377382874+00:00,3.083,66.4,11474,26.46
2025-09-19 22:04:17.191522376+00:00,3.084,66.2,11490,26.46
2025-09-19 22:06:25.397686425+00:00,3.084,65.8,11512,26.46
2025-09-19 22:08:29.086881509+00:00,3.084,65.8,11525,26.46
2025-09-19 22:12:35.094426246+00:00,3.085,65.2,11565,26.49
2025-09-19 22:14:42.341893251+00:00,3.084,64.6,11584,26.49
2025-09-19 22:16:42.456319759+00:00,3.083,64.5,11607,26.51
2025-09-19 22:18:44.319306504+00:00,3.083,64.5,11630,26.5
2025-09-19 22:20:45.961034348+00:00,3.084,64.8,11641,26.5
2025-09-19 22:22:59.166158222+00:00,3.082,65.1,11646,26.53
2025-09-19 22:23:06.196633774+00:00,3.084,65.1,11647,26.51
2025-09-19 22:25:40.506735802+00:00,3.085,65.2,11661,26.51
2025-09-19 22:28:01.671026832+00:00,3.084,64.9,11672,26.55
2025-09-19 22:30:03.070561979+00:00,3.083,64.5,11685,26.55
2025-09-19 22:32:03.521398557+00:00,3.084,64.8,11695,26.54
2025-09-19 22:34:08.107448398+00:00,3.083,64.9,11720,26.57
2025-09-19 22:39:54.854461959+00:00,3.084,65.0,11736,26.62
2025-09-19 22:50:08.115002606+00:00,3.084,64.9,11741,26.64
2025-09-19 22:52:58.642751343+00:00,3.083,65.3,11748,26.67
2025-09-19 22:53:06.043086847+00:00,3.083,65.3,11749,26.67
2025-09-19 22:55:49.928500467+00:00,3.084,65.6,11750,26.68
2025-09-19 22:59:37.461665145+00:00,3.083,65.8,11752,26.73
2025-09-19 23:14:02.126671943+00:00,3.084,65.5,11772,26.78
2025-09-19 23:18:18.444781334+00:00,3.084,65.5,11773,26.79
2025-09-19 23:20:44.775498579+00:00,3.085,65.5,11790,26.75
2025-09-19 23:22:58.126258363+00:00,3.085,65.5,11790,26.77
2025-09-19 23:23:23.707007530+00:00,3.083,65.5,11791,26.74
2025-09-19 23:52:57.586236336+00:00,3.084,65.3,11791,26.57
2025-09-20 00:14:10.857171695+00:00,3.085,65.7,11792,26.41
2025-09-20 00:16:25.318111590+00:00,3.083,65.8,11794,26.39
2025-09-20 00:22:57.042525036+00:00,3.084,66.2,11798,26.34
2025-09-20 00:52:56.510621263+00:00,3.084,66.4,11798,26.16
2025-09-20 01:22:56.028282577+00:00,3.084,66.7,11798,26.02
2025-09-20 01:52:55.499244140+00:00,3.084,66.3,11798,25.91
2025-09-20 02:22:55.000239430+00:00,3.085,67.2,11798,25.79
2025-09-20 02:52:54.449471945+00:00,3.085,66.3,11798,25.75
2025-09-20 02:56:40.828177989+00:00,3.085,66.3,11799,25.72
2025-09-20 03:22:53.902680148+00:00,3.085,66.5,11799,25.68
2025-09-20 03:25:39.469576244+00:00,3.085,66.2,11800,25.63
2025-09-20 03:38:29.422452455+00:00,3.084,66.3,11802,25.6
2025-09-20 03:52:53.362594508+00:00,3.083,66.5,11802,25.58
2025-09-20 04:22:52.831134171+00:00,3.085,66.2,11802,25.45
2025-09-20 04:52:52.372205236+00:00,3.083,65.8,11802,25.4
2025-09-20 04:57:08.942461276+00:00,3.085,65.2,11803,25.36
2025-09-20 05:03:30.139218390+00:00,3.084,65.1,11804,25.34
2025-09-20 05:22:51.832675794+00:00,3.084,64.8,11804,25.3
2025-09-20 05:25:48.594151972+00:00,3.085,65.0,11805,25.29
2025-09-20 05:36:36.040354002+00:00,3.085,65.1,11813,25.26
2025-09-20 05:43:38.418090914+00:00,3.085,65.2,11816,25.27
2025-09-20 05:52:30.825315149+00:00,3.085,64.9,11817,25.24
2025-09-20 05:52:51.259695327+00:00,3.086,64.9,11818,25.26
2025-09-20 05:54:39.890543369+00:00,3.086,65.2,11826,25.24
2025-09-20 05:57:36.732464896+00:00,3.083,65.1,11829,25.23
2025-09-20 06:22:50.730605603+00:00,3.084,65.1,11838,25.21
2025-09-20 06:43:31.950304483+00:00,3.085,65.0,11839,25.16
2025-09-20 06:52:44.593322885+00:00,3.083,65.4,11847,25.1
2025-09-20 06:52:51.637109760+00:00,3.084,65.3,11848,25.12
2025-09-20 07:00:40.928468920+00:00,3.085,64.7,11849,24.81
2025-09-20 07:02:41.922477540+00:00,3.085,65.1,11859,24.74
2025-09-20 07:05:24.857918920+00:00,3.085,65.5,11861,24.66
2025-09-20 07:09:08.435666364+00:00,3.086,66.0,11863,24.58
2025-09-20 07:17:09.383327386+00:00,3.084,66.3,11866,24.66
2025-09-20 07:22:22.165645440+00:00,3.085,66.3,11867,24.69
2025-09-20 07:22:49.684120164+00:00,3.085,66.2,11867,24.69
2025-09-20 07:25:03.508363998+00:00,3.084,66.3,11868,24.72
2025-09-20 07:27:08.834955569+00:00,3.085,66.5,11890,24.74
2025-09-20 07:29:38.331120258+00:00,3.085,66.8,11892,24.75
2025-09-20 07:33:04.494820040+00:00,3.087,66.8,11899,24.78
2025-09-20 07:35:04.568920665+00:00,3.086,66.7,11906,24.78
2025-09-20 07:37:17.380882355+00:00,3.084,66.8,11924,24.76
2025-09-20 07:39:40.308966302+00:00,3.085,66.9,11935,24.76
2025-09-20 07:41:53.634801390+00:00,3.086,66.8,11947,24.76
2025-09-20 07:47:08.416855626+00:00,3.084,66.7,11960,24.75
2025-09-20 07:49:10.841851258+00:00,3.085,66.7,11961,24.81
2025-09-20 07:51:13.559861718+00:00,3.084,66.5,11969,24.78
2025-09-20 07:52:49.205184581+00:00,3.085,66.6,11977,24.79
2025-09-20 07:53:23.743693015+00:00,3.084,66.5,11979,24.76
2025-09-20 08:00:31.111058025+00:00,3.085,66.4,11987,24.76
2025-09-20 08:02:56.985874535+00:00,3.083,66.4,11997,24.78
2025-09-20 08:05:11.767939104+00:00,3.085,66.5,12009,24.78
2025-09-20 08:08:39.996767915+00:00,3.085,66.4,12013,24.79
2025-09-20 08:10:41.991626402+00:00,3.085,66.5,12030,24.79
2025-09-20 08:13:18.803345145+00:00,3.085,66.8,12034,24.83
2025-09-20 08:19:57.172449457+00:00,3.084,67.1,12053,24.83
2025-09-20 08:22:07.678043239+00:00,3.084,67.3,12064,24.89
2025-09-20 08:22:48.678808116+00:00,3.083,67.2,12066,24.89
2025-09-20 08:24:54.684115834+00:00,3.083,67.1,12069,24.9
2025-09-20 08:30:41.782559421+00:00,3.084,67.3,12077,24.93
2025-09-20 08:32:42.613670719+00:00,3.084,67.2,12092,24.96
2025-09-20 08:34:56.280223243+00:00,3.086,67.2,12106,24.97
2025-09-20 08:37:02.429439671+00:00,3.086,67.3,12115,25.02
2025-09-20 08:39:07.040875985+00:00,3.083,67.2,12130,25.03
2025-09-20 08:41:08.559594549+00:00,3.085,67.3,12144,25.08
2025-09-20 08:43:17.971807082+00:00,3.084,67.3,12157,25.1
2025-09-20 08:45:25.246208220+00:00,3.083,67.3,12172,25.12
2025-09-20 08:47:26.049352482+00:00,3.082,67.3,12184,25.14
2025-09-20 08:50:53.229232682+00:00,3.083,67.6,12188,25.2
2025-09-20 08:52:48.124901033+00:00,3.084,67.7,12201,25.21
2025-09-20 08:52:55.149472588+00:00,3.084,67.7,12202,25.2
2025-09-20 08:58:54.288474877+00:00,3.083,67.8,12204,25.27
2025-09-20 09:05:08.311538308+00:00,3.083,68.2,12205,25.31
2025-09-20 09:09:27.819872540+00:00,3.084,68.5,12212,25.31
2025-09-20 09:11:39.323369035+00:00,3.084,68.5,12222,25.31
2025-09-20 09:14:06.125674061+00:00,3.086,68.5,12224,25.33
2025-09-20 09:22:47.628740192+00:00,3.085,68.6,12229,25.37
2025-09-20 09:24:17.472848034+00:00,3.084,68.6,12230,25.37
2025-09-20 09:32:00.638789915+00:00,3.083,68.2,12232,25.38
2025-09-20 09:41:52.206791840+00:00,3.084,68.8,12235,25.44
2025-09-20 09:52:47.073490412+00:00,3.083,69.1,12241,25.52
2025-09-20 10:10:25.246114522+00:00,3.082,69.7,12242,25.64
2025-09-20 10:14:09.510335551+00:00,3.084,69.8,12247,25.67
2025-09-20 10:21:20.803359530+00:00,3.084,69.6,12249,25.69
2025-09-20 10:22:46.548904796+00:00,3.084,69.5,12252,25.71
2025-09-20 10:23:50.265295438+00:00,3.084,69.6,12255,25.71
2025-09-20 10:27:21.161562282+00:00,3.083,69.7,12256,25.72
2025-09-20 10:29:58.259089934+00:00,3.085,69.8,12262,25.74
2025-09-20 10:32:06.617015707+00:00,3.084,69.9,12268,25.76
2025-09-20 10:42:47.314367750+00:00,3.085,68.5,12280,25.79
2025-09-20 10:52:46.015986766+00:00,3.085,67.0,12285,25.86
2025-09-20 11:22:45.492479727+00:00,3.085,66.8,12285,25.96
2025-09-20 11:25:52.160643021+00:00,3.083,65.6,12286,25.96
2025-09-20 11:28:47.036235624+00:00,3.086,66.4,12298,25.99
2025-09-20 11:41:53.717199411+00:00,3.084,66.0,12302,25.99
2025-09-20 11:52:44.964657838+00:00,3.085,67.8,12303,26.06
2025-09-20 11:54:24.997682873+00:00,3.083,67.8,12304,26.06
2025-09-20 11:56:25.206017193+00:00,3.083,68.3,12324,26.06
2025-09-20 11:59:25.349488157+00:00,3.085,66.4,12333,26.11
2025-09-20 12:01:25.801412954+00:00,3.084,68.5,12336,26.15
2025-09-20 12:03:27.569915754+00:00,3.084,67.4,12362,26.2
2025-09-20 12:05:30.829995317+00:00,3.084,68.9,12389,26.2
2025-09-20 12:07:31.660877236+00:00,3.085,64.9,12413,26.26
2025-09-20 12:16:47.448568764+00:00,3.082,65.2,12432,26.3
2025-09-20 12:22:44.488497762+00:00,3.083,65.6,12436,26.3
2025-09-20 12:25:36.951252274+00:00,3.083,64.8,12437,26.3
2025-09-20 12:52:43.950233632+00:00,3.082,62.6,12437,26.33
2025-09-20 13:22:43.436918108+00:00,3.084,60.9,12437,26.43
2025-09-20 13:52:42.879174663+00:00,3.085,61.9,12437,26.54
2025-09-20 14:22:42.338693723+00:00,3.084,60.6,12437,26.57
2025-09-20 14:52:41.839827694+00:00,3.083,61.7,12437,26.55
2025-09-20 15:22:41.346007708+00:00,3.084,60.9,12437,26.49
2025-09-20 15:52:40.830400761+00:00,3.083,61.5,12437,26.44
2025-09-20 16:22:40.300228671+00:00,3.085,62.2,12437,26.43
2025-09-20 16:43:35.845918415+00:00,3.084,61.4,12438,26.41
2025-09-20 16:46:16.928316577+00:00,3.084,60.8,12451,26.37
2025-09-20 16:52:39.774063335+00:00,3.085,61.3,12459,26.39
2025-09-20 17:22:39.251446634+00:00,3.086,62.0,12459,26.33
2025-09-20 17:47:41.959060757+00:00,3.085,62.9,12460,26.19
2025-09-20 17:52:38.701465869+00:00,3.084,62.8,12464,26.12
2025-09-20 18:12:51.899189550+00:00,3.085,63.1,12465,26.06
2025-09-20 18:20:49.038542600+00:00,3.084,62.7,12468,26.03
2025-09-20 18:22:38.177129434+00:00,3.083,62.4,12472,26.06
2025-09-20 18:52:37.643989690+00:00,3.083,62.6,12472,25.86
2025-09-20 19:22:37.107708395+00:00,3.085,61.8,12472,25.72
2025-09-20 19:52:36.629447780+00:00,3.084,62.6,12472,25.57
2025-09-20 19:58:07.250156246+00:00,3.083,62.7,12473,25.54
2025-09-20 20:01:10.759636469+00:00,3.083,62.8,12478,25.52
2025-09-20 20:15:30.393472355+00:00,3.083,63.3,12481,25.54
2025-09-20 20:17:55.028036493+00:00,3.084,64.2,12483,25.56
2025-09-20 20:22:36.081943181+00:00,3.085,64.8,12485,25.56
2025-09-20 20:47:54.763581297+00:00,3.083,65.1,12486,25.6
2025-09-20 20:50:01.843785814+00:00,3.084,65.0,12496,25.57
2025-09-20 20:52:35.536169517+00:00,3.083,65.0,12498,25.61
2025-09-20 20:54:31.147800029+00:00,3.084,64.9,12499,25.6
2025-09-20 20:57:19.009757948+00:00,3.084,64.9,12508,25.6
2025-09-20 20:59:26.506166698+00:00,3.085,64.8,12522,25.63
2025-09-20 21:01:30.018227829+00:00,3.085,64.8,12529,25.63
2025-09-20 21:03:30.886782778+00:00,3.083,64.7,12540,25.63
2025-09-20 21:05:30.946948125+00:00,3.084,64.6,12549,25.64
2025-09-20 21:07:56.059245099+00:00,3.085,64.5,12556,25.65
2025-09-20 21:10:06.625557503+00:00,3.084,64.5,12559,25.64
2025-09-20 21:13:05.215812633+00:00,3.085,64.5,12564,25.64
2025-09-20 21:15:08.095689099+00:00,3.084,64.8,12582,25.63
2025-09-20 21:17:15.499861473+00:00,3.084,66.5,12592,25.65
2025-09-20 21:19:23.521096106+00:00,3.083,67.2,12598,25.67
2025-09-20 21:22:08.661064844+00:00,3.083,67.4,12607,25.67
2025-09-20 21:22:35.019478978+00:00,3.083,67.6,12608,25.68
2025-09-20 21:25:07.541702635+00:00,3.084,67.7,12612,25.69
2025-09-20 21:33:39.788472573+00:00,3.084,67.6,12616,25.69
2025-09-20 21:39:21.916096054+00:00,3.085,67.3,12622,25.72
2025-09-20 21:43:07.303643367+00:00,3.084,67.1,12625,25.71
2025-09-20 21:45:49.038228011+00:00,3.085,67.3,12629,25.69
2025-09-20 21:48:03.435177960+00:00,3.083,67.3,12640,25.68
2025-09-20 21:50:21.037831915+00:00,3.084,65.7,12658,25.69
2025-09-20 21:52:34.493580922+00:00,3.084,65.8,12667,25.69
2025-09-20 21:55:46.591730427+00:00,3.084,65.8,12668,25.71
2025-09-20 22:12:24.118317846+00:00,3.085,65.4,12671,25.68
2025-09-20 22:14:30.681430026+00:00,3.083,65.4,12676,25.71
2025-09-20 22:22:34.010546814+00:00,3.084,65.0,12678,25.69
2025-09-20 22:52:33.444920054+00:00,3.083,64.6,12684,25.68
2025-09-20 23:22:32.924330509+00:00,3.083,64.5,12684,25.54
2025-09-20 23:25:15.425440621+00:00,3.085,64.4,12685,25.57
2025-09-20 23:27:48.637653055+00:00,3.083,64.4,12688,25.57
2025-09-20 23:30:08.611772725+00:00,3.083,64.5,12690,25.57
2025-09-20 23:32:36.453477134+00:00,3.083,64.2,12704,25.54
2025-09-20 23:36:32.660919238+00:00,3.084,64.0,12714,25.54
2025-09-20 23:39:41.957312382+00:00,3.086,64.0,12715,25.51
2025-09-20 23:46:53.596801156+00:00,3.084,64.1,12719,25.47
2025-09-20 23:52:32.427033214+00:00,3.083,64.3,12725,25.45
2025-09-20 23:55:12.228782906+00:00,3.084,64.2,12726,25.44
2025-09-21 00:03:02.534505533+00:00,3.083,64.1,12735,25.38
2025-09-21 00:06:31.017093764+00:00,3.084,64.0,12740,25.4
2025-09-21 00:08:44.015083174+00:00,3.084,64.1,12750,25.4
2025-09-21 00:12:13.428882344+00:00,3.085,64.0,12752,25.37
2025-09-21 00:15:05.479121249+00:00,3.084,64.0,12755,25.36
2025-09-21 00:20:52.670415371+00:00,3.083,64.8,12764,25.36
2025-09-21 00:22:31.910902059+00:00,3.084,65.0,12779,25.4
2025-09-21 00:22:59.126301150+00:00,3.084,65.0,12782,25.36
2025-09-21 00:26:41.719352377+00:00,3.085,65.1,12790,25.4
2025-09-21 00:29:25.984327311+00:00,3.084,65.1,12793,25.41
2025-09-21 00:33:43.817082876+00:00,3.084,65.0,12798,25.4
2025-09-21 00:38:22.804258116+00:00,3.084,64.9,12801,25.41
2025-09-21 00:52:31.345232458+00:00,3.084,64.0,12806,25.33
2025-09-21 01:22:30.821385788+00:00,3.084,64.3,12806,25.31
2025-09-21 01:52:30.353492838+00:00,3.084,64.6,12806,25.23
2025-09-21 02:22:29.799648347+00:00,3.084,64.3,12806,25.21
2025-09-21 02:24:27.574014597+00:00,3.084,64.5,12807,25.2
2025-09-21 02:52:29.285517136+00:00,3.085,64.3,12807,25.17
2025-09-21 03:22:28.758626422+00:00,3.083,64.7,12807,25.09
2025-09-21 03:52:28.236025879+00:00,3.083,65.2,12807,25.05
2025-09-21 04:08:51.360794107+00:00,3.085,65.1,12808,24.93
2025-09-21 04:22:27.711936707+00:00,3.084,65.4,12809,24.87
2025-09-21 04:52:27.186470993+00:00,3.086,66.0,12809,24.75
2025-09-21 04:55:12.513937798+00:00,3.083,66.0,12810,24.75
2025-09-21 05:22:26.655395120+00:00,3.084,66.9,12819,24.76
2025-09-21 05:40:05.650374584+00:00,3.085,67.2,12820,24.78
2025-09-21 05:47:59.851656492+00:00,3.085,66.9,12821,24.78
2025-09-21 05:52:26.150440954+00:00,3.085,67.0,12821,24.76
2025-09-21 06:22:25.603133244+00:00,3.084,66.2,12821,24.72
2025-09-21 06:52:25.054072473+00:00,3.084,66.2,12821,24.66
2025-09-21 07:09:08.589060828+00:00,3.086,66.6,12822,24.65
2025-09-21 07:13:38.392078243+00:00,3.086,66.8,12836,24.69
2025-09-21 07:17:33.918300184+00:00,3.085,66.6,12840,24.71
2025-09-21 07:20:01.544636395+00:00,3.083,66.8,12853,24.74
2025-09-21 07:22:24.533697352+00:00,3.084,66.8,12859,24.74
2025-09-21 07:23:41.422757145+00:00,3.085,66.8,12860,24.75
2025-09-21 07:26:05.391642347+00:00,3.083,66.8,12863,24.75
2025-09-21 07:28:10.241803872+00:00,3.085,66.8,12869,24.78
2025-09-21 07:30:20.971656612+00:00,3.086,67.0,12875,24.78
2025-09-21 07:32:38.750664245+00:00,3.084,67.1,12885,24.83
